,Pincode,Placename,District,State,Taluka,Latitude,Longitude,Full_address
36331,400031,Kidwai Nagar (Mumbai),Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Kidwai Nagar (Mumbai),Mumbai,Mumbai"
36332,400031,Wadala Rs,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Wadala Rs,Mumbai,Mumbai"
36333,400032,High Court Building (Mumbai),Mumbai,Maharashtra,Mumbai,19.0167,72.85,"High Court Building (Mumbai),Mumbai,Mumbai"
36334,400032,Mantralaya (Mumbai),Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Mantralaya (Mumbai),Mumbai,Mumbai"
36335,400032,Secretariate,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Secretariate,Mumbai,Mumbai"
36337,400033,Reay Road,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Reay Road,Mumbai,Mumbai"
36338,400033,Cotton Exchange,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Cotton Exchange,Mumbai,Mumbai"
36339,400033,Kalachowki,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Kalachowki,Mumbai,Mumbai"
36340,400033,L B S N E collage,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"L B S N E collage,Mumbai,Mumbai"
36341,400034,Tulsiwadi,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Tulsiwadi,Mumbai,Mumbai"
36342,400034,Haji Ali,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Haji Ali,Mumbai,Mumbai"
36343,400035,Rajbhavan (Mumbai),Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Rajbhavan (Mumbai),Mumbai,Mumbai"
36344,400037,Antop Hill,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"Antop Hill,Mumbai,Mumbai"
36345,400037,C G S Colony,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"C G S Colony,Mumbai,Mumbai"
36346,400037,B P T Colony,Mumbai,Maharashtra,Mumbai,19.0167,72.85,"B P T Colony,Mumbai,Mumbai"
36351,400049,Juhu,Mumbai,Maharashtra,Mumbai,19.1026,72.8242,"Juhu,Mumbai,Mumbai"
36352,400050,Bandra West,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Bandra West,Mumbai,Mumbai"
36353,400051,Audit Bhavan,Mumbai,Maharashtra,Bandra,20.0435,73.972,"Audit Bhavan,Bandra,Mumbai"
36354,400051,Kherwadi,Mumbai,Maharashtra,Mumbai,20.0435,73.972,"Kherwadi,Mumbai,Mumbai"
36355,400051,Bandra(East),Mumbai,Maharashtra,Mumbai,20.0435,73.972,"Bandra(East),Mumbai,Mumbai"
36356,400051,B.N. Bhavan,Mumbai,Maharashtra,Mumbai,20.0435,73.972,"B.N. Bhavan,Mumbai,Mumbai"
36357,400051,Government Colony,Mumbai,Maharashtra,Mumbai,20.0435,73.972,"Government Colony,Mumbai,Mumbai"
36358,400052,V.P. Road,Mumbai,Maharashtra,Mumbai,18.7997,72.926,"V.P. Road,Mumbai,Mumbai"
36359,400052,Danda,Mumbai,Maharashtra,Mumbai,18.7997,72.926,"Danda,Mumbai,Mumbai"
36360,400052,Khar Colony,Mumbai,Maharashtra,Mumbai,18.7997,72.926,"Khar Colony,Mumbai,Mumbai"
36361,400052,Khar Delivery,Mumbai,Maharashtra,Mumbai,18.7997,72.926,"Khar Delivery,Mumbai,Mumbai"
36362,400053,Azad Nagar (Mumbai),Mumbai,Maharashtra,Mumbai,19.1309,72.8526,"Azad Nagar (Mumbai),Mumbai,Mumbai"
36363,400053,Andheri,Mumbai,Maharashtra,Mumbai,19.1309,72.8526,"Andheri,Mumbai,Mumbai"
36364,400054,Santacruz Central,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Santacruz Central,Mumbai,Mumbai"
36365,400054,Santacruz(West),Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Santacruz(West),Mumbai,Mumbai"
36366,400055,Vakola,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Vakola,Mumbai,Mumbai"
36367,400055,Santacruz(East),Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Santacruz(East),Mumbai,Mumbai"
36368,400056,Vileparle(West),Mumbai,Maharashtra,Mumbai,18.0704,75.7484,"Vileparle(West),Mumbai,Mumbai"
36369,400056,IRLA,Mumbai,Maharashtra,Mumbai,18.0704,75.7484,"IRLA,Mumbai,Mumbai"
36370,400057,Vileparle Railway Station,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Vileparle Railway Station,Mumbai,Mumbai"
36371,400057,Hanuman Road,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Hanuman Road,Mumbai,Mumbai"
36372,400057,Vileeparle (East),Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Vileeparle (East),Mumbai,Mumbai"
36373,400058,H.M.P. School,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"H.M.P. School,Mumbai,Mumbai"
36374,400058,Andheri Railway Station,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Andheri Railway Station,Mumbai,Mumbai"
36375,400059,J.B. Nagar,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"J.B. Nagar,Mumbai,Mumbai"
36376,400059,Marol Naka,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Marol Naka,Mumbai,Mumbai"
36377,400059,Marol Bazar,Mumbai,Maharashtra,Mumbai,19.0111,73.8747,"Marol Bazar,Mumbai,Mumbai"
36378,400060,Jogeshwari East,Mumbai,Maharashtra,Jogeshwari East,19.1699,72.8504,"Jogeshwari East,Jogeshwari East,Mumbai"
36379,400061,Madh,Mumbai,Maharashtra,Mumbai,19.15,72.8333,"Madh,Mumbai,Mumbai"
36380,400061,Vesava,Mumbai,Maharashtra,Mumbai,19.1391,72.8101,"Vesava,Mumbai,Mumbai"
36381,400063,Sharma Estate,Mumbai,Maharashtra,Goregaon East,19.1624,72.8694,"Sharma Estate,Goregaon East,Mumbai"
36382,400063,Goregaon East,Mumbai,Maharashtra,Goregaon East,19.1624,72.8694,"Goregaon East,Goregaon East,Mumbai"
36383,400064,Malad West Dely,Mumbai,Maharashtra,Malad West,19.197,72.845,"Malad West Dely,Malad West,Mumbai"
36384,400064,Orlem,Mumbai,Maharashtra,Malad West,19.197,72.845,"Orlem,Malad West,Mumbai"
36385,400064,Liberty Garden,Mumbai,Maharashtra,Malad West,19.197,72.845,"Liberty Garden,Malad West,Mumbai"
36386,400064,Malad,Mumbai,Maharashtra,Malad West,19.197,72.845,"Malad,Malad West,Mumbai"
36387,400065,S R P F Camp,Mumbai,Maharashtra,Jogeshwari East,19.1699,72.8504,"S R P F Camp,Jogeshwari East,Mumbai"
